"Time (s) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
16.100,-0.801,-8.498,35.500,-0.0191,-0.203,0.847
16.150,-1.194,-6.199,50.789,-0.0285,-0.148,1.213
16.200,-1.445,-3.220,60.650,-0.0345,-0.077,1.448
16.250,-1.527,0.099,63.774,-0.0364,0.002,1.522
16.300,-1.434,3.398,59.847,-0.0342,0.081,1.429
16.350,-1.175,6.315,49.306,-0.0280,0.151,1.177
16.400,-0.778,8.519,33.598,-0.0186,0.203,0.802
16.450,-0.289,9.770,15.499,-0.0069,0.233,0.370
16.500,0.236,10.022,-1.222,0.0056,0.239,-0.029
16.550,0.743,9.461,-13.125,0.0177,0.226,-0.313
16.600,1.197,8.461,-18.623,0.0286,0.202,-0.445
16.650,1.588,7.393,-18.396,0.0379,0.177,-0.439
16.700,1.929,6.503,-14.347,0.0461,0.155,-0.343
16.750,2.229,5.901,-8.186,0.0532,0.141,-0.195
16.800,2.507,5.650,-1.030,0.0599,0.135,-0.025
16.850,2.780,5.791,6.213,0.0664,0.138,0.148
16.900,3.072,6.304,12.444,0.0734,0.151,0.297
16.950,3.401,7.110,16.354,0.0812,0.170,0.390
17.000,3.778,8.063,16.458,0.0902,0.193,0.393
17.050,4.208,8.938,11.380,0.1005,0.213,0.272
17.100,4.684,9.414,0.681,0.1118,0.225,0.016
17.150,5.176,9.173,-14.329,0.1236,0.219,-0.342
17.200,5.634,8.032,-30.753,0.1345,0.192,-0.734
17.250,6.010,6.021,-45.256,0.1435,0.144,-1.080
17.300,6.260,3.341,-55.187,0.1494,0.080,-1.318
17.350,6.357,0.288,-59.010,0.1518,0.007,-1.409
17.400,6.289,-2.791,-56.147,0.1502,-0.067,-1.340
17.450,6.066,-5.550,-46.967,0.1448,-0.133,-1.121
17.500,5.713,-7.665,-32.882,0.1364,-0.183,-0.785
17.550,5.268,-8.927,-16.441,0.1258,-0.213,-0.393
17.600,4.788,-9.278,-0.925,0.1143,-0.222,-0.022
17.650,4.313,-8.870,10.751,0.1030,-0.212,0.257
17.700,3.885,-8.001,17.069,0.0927,-0.191,0.408
17.750,3.511,-6.980,18.274,0.0838,-0.167,0.436
17.800,3.190,-6.048,15.656,0.0762,-0.144,0.374
17.850,2.914,-5.341,10.647,0.0696,-0.128,0.254
17.900,2.667,-4.943,4.433,0.0637,-0.118,0.106
17.950,2.432,-4.890,-2.094,0.0581,-0.117,-0.050
18.000,2.190,-5.168,-8.343,0.0523,-0.123,-0.199
18.050,1.924,-5.744,-13.875,0.0459,-0.137,-0.331
18.100,1.624,-6.592,-17.925,0.0388,-0.157,-0.428
18.150,1.274,-7.629,-18.954,0.0304,-0.182,-0.453
18.200,0.862,-8.660,-15.097,0.0206,-0.207,-0.360
18.250,0.397,-9.362,-5.341,0.0095,-0.224,-0.127
18.300,-0.097,-9.388,9.477,-0.0023,-0.224,0.226
18.350,-0.575,-8.503,26.599,-0.0137,-0.203,0.635
18.400,-0.982,-6.676,42.446,-0.0234,-0.159,1.013
18.450,-1.269,-4.095,53.966,-0.0303,-0.098,1.288
18.500,-1.406,-1.063,59.376,-0.0336,-0.025,1.417
18.550,-1.379,2.073,58.085,-0.0329,0.049,1.387
18.600,-1.191,4.969,50.300,-0.0284,0.119,1.201
18.650,-0.862,7.299,37.053,-0.0206,0.174,0.885
18.700,-0.432,8.802,20.455,-0.0103,0.210,0.488
18.750,0.052,9.357,3.665,0.0012,0.223,0.087
18.800,0.536,9.048,-9.948,0.0128,0.216,-0.238
18.850,0.977,8.152,-18.151,0.0233,0.195,-0.433
18.900,1.357,7.021,-20.682,0.0324,0.168,-0.494
18.950,1.676,5.938,-18.937,0.0400,0.142,-0.452
19.000,1.943,5.058,-14.835,0.0464,0.121,-0.354
19.050,2.172,4.435,-9.809,0.0519,0.106,-0.234
19.100,2.378,4.074,-4.503,0.0568,0.097,-0.107
19.150,2.571,3.979,0.925,0.0614,0.095,0.022
19.200,2.766,4.163,6.353,0.0660,0.099,0.152
19.250,2.978,4.623,11.467,0.0711,0.110,0.274
19.300,3.220,5.335,15.691,0.0769,0.127,0.375
19.350,3.504,6.247,18.082,0.0837,0.149,0.432
19.400,3.841,7.247,17.331,0.0917,0.173,0.414
19.450,4.232,8.137,12.165,0.1010,0.194,0.290
19.500,4.667,8.645,2.129,0.1114,0.206,0.051
19.550,5.119,8.498,-11.781,0.1222,0.203,-0.281
19.600,5.546,7.524,-27.157,0.1324,0.180,-0.648
19.650,5.901,5.723,-40.963,0.1409,0.137,-0.978
19.700,6.142,3.272,-50.597,0.1466,0.078,-1.208
19.750,6.241,0.461,-54.524,0.1490,0.011,-1.302
19.800,6.189,-2.393,-52.238,0.1478,-0.057,-1.247
19.850,5.993,-4.969,-44.070,0.1431,-0.119,-1.052
19.900,5.672,-6.969,-31.259,0.1354,-0.166,-0.746
19.950,5.267,-8.184,-16.057,0.1257,-0.195,-0.383
20.000,4.824,-8.556,-1.344,0.1152,-0.204,-0.032
20.050,4.386,-8.200,10.280,0.1047,-0.196,0.245
20.100,3.987,-7.357,17.331,0.0952,-0.176,0.414
20.150,3.644,-6.299,19.775,0.0870,-0.150,0.472
20.200,3.358,-5.257,18.692,0.0802,-0.126,0.446
20.250,3.124,-4.367,15.533,0.0746,-0.104,0.371
20.300,2.930,-3.681,11.519,0.0699,-0.088,0.275
20.350,2.763,-3.215,7.348,0.0660,-0.077,0.175
20.400,2.615,-2.953,3.246,0.0624,-0.071,0.077
20.450,2.474,-2.890,-0.838,0.0591,-0.069,-0.020
20.500,2.333,-3.032,-5.009,0.0557,-0.072,-0.120
20.550,2.179,-3.388,-9.233,0.0520,-0.081,-0.220
20.600,2.001,-3.958,-13.369,0.0478,-0.094,-0.319
20.650,1.789,-4.733,-17.122,0.0427,-0.113,-0.409
20.700,1.535,-5.697,-19.792,0.0366,-0.136,-0.473
20.750,1.225,-6.786,-20.036,0.0293,-0.162,-0.478
20.800,0.856,-7.844,-16.179,0.0204,-0.187,-0.386
20.850,0.432,-8.597,-7.156,0.0103,-0.205,-0.171
20.900,-0.025,-8.739,6.510,-6.0000E-4,-0.209,0.155
20.950,-0.473,-8.037,22.515,-0.0113,-0.192,0.537
21.000,-0.861,-6.451,37.664,-0.0205,-0.154,0.899
21.050,-1.144,-4.131,49.079,-0.0273,-0.099,1.172
21.100,-1.290,-1.346,54.943,-0.0308,-0.032,1.312
21.150,-1.283,1.581,54.489,-0.0306,0.038,1.301
21.200,-1.125,4.320,47.805,-0.0268,0.103,1.141
21.250,-0.834,6.550,35.832,-0.0199,0.156,0.855
21.300,-0.443,8.027,20.508,-0.0106,0.192,0.490
21.350,7.383E-15,8.624,4.677,5.5511E-17,0.206,0.112
21.400,0.449,8.399,-8.674,0.0107,0.201,-0.207
21.450,0.861,7.582,-17.488,0.0206,0.181,-0.417
