inten,std
75995.725,276.899
75758.045,276.404
76218.915,277.192
77100.582,278.823
77242.834,279.029
77204.629,279.011
79041.644,282.288
79786.633,283.616
78807.610,281.823
78182.478,280.723
76641.506,278.029
75475.868,275.915
73420.112,272.188
73354.330,272.024
72717.452,270.822
72514.057,270.456
72001.604,269.482
72521.611,270.480
73742.446,272.731
74259.452,273.635
74763.725,274.516
75486.926,275.886
75787.365,276.468
75335.963,275.542
73696.405,272.691
74286.565,273.756
70733.053,267.111
70901.679,267.543
70216.459,266.284
70194.919,266.081
71705.745,268.984
73067.105,271.454
73054.470,271.414
74483.889,274.179
74677.794,274.451
74366.567,273.909
72270.919,270.073
70348.903,266.431
69375.310,264.542
68173.952,262.409
66719.849,259.531
66227.869,258.719
65086.360,256.362
67086.298,260.164
66973.513,260.039
68036.445,262.134
66772.833,259.695
66619.218,259.363
64891.185,255.915
64432.071,255.089
61889.315,249.939
59307.720,244.917
55700.932,237.456
53334.709,232.367
51409.834,228.069
50384.095,225.815
47417.489,219.156
47659.275,219.680
49166.803,223.084
49515.101,223.869
49110.007,222.933
52138.772,229.768
56542.787,239.032
59234.106,244.608
57895.605,241.926
57473.239,241.100
54221.069,234.231
49383.124,223.569
46883.674,218.026
47787.419,220.033
47245.587,218.875
48113.135,220.625
48306.129,221.019
51445.620,228.222
51374.072,227.955
52840.493,231.146
51617.735,228.472
51488.642,228.255
52261.641,229.931
51121.453,227.370
48234.169,220.928
47386.098,218.992
46311.665,216.602
46280.343,216.616
46710.919,217.475
48041.824,220.507
49445.033,223.619
51636.392,228.749
53594.059,232.840
53464.605,232.511
52846.003,231.265
52779.831,231.033
51253.038,227.731
48567.148,221.791
47982.720,220.425
46609.104,217.302
46012.128,215.913
46269.752,216.389
46419.639,216.791
47437.746,219.165
47429.316,219.195
47130.579,218.397
47172.148,218.509
46792.068,217.654
45408.975,214.568
46050.912,216.079
45323.571,214.300
44990.397,213.603
44810.565,213.207
45182.460,213.989
43952.339,211.050
43690.711,210.538
42666.064,208.087
42387.617,207.372
41415.723,204.930
42532.069,207.560
42745.164,208.152
42464.369,207.524
43747.227,210.576
44797.896,213.078
44721.424,213.008
44798.913,213.099
45093.789,213.835
44080.594,211.363
42480.059,207.618
41834.978,206.129
40973.890,203.827
40098.625,201.753
40525.858,202.801
39674.329,200.702
41034.196,204.055
42032.971,206.522
42232.063,206.989
43194.113,209.249
43384.924,209.648
43651.524,210.443
42538.637,207.681
41363.182,204.867
39616.443,200.647
38233.301,197.046
36810.821,193.430
37025.339,193.926
36154.560,191.782
36360.857,192.282
36342.015,192.180
37291.063,194.701
37501.901,195.144
34462.832,187.159
25230.409,160.715
14006.800,120.591
8023.090,92.641
6411.411,83.260
8598.058,95.756
12848.830,116.105
16162.908,129.377
14732.086,123.731
12975.655,116.397
12794.921,115.786
13589.482,119.207
15146.384,125.480
16674.625,131.390
18273.629,137.267
20851.568,146.582
21973.392,150.078
23175.175,154.160
25907.280,162.814
26288.454,163.952
27566.869,167.879
28386.225,170.204
29978.311,174.769
29875.757,174.712
30945.518,177.568
30707.130,176.913
29539.968,173.604
27838.284,168.678
29205.567,172.662
28654.866,171.118
29584.293,173.800
29660.567,174.081
30318.165,175.773
31210.757,178.413
31350.593,178.847
31422.269,178.979
31323.651,178.609
30432.854,176.254
29250.516,172.830
27668.606,168.188
26010.260,163.142
25576.447,161.757
25482.315,161.348
25160.394,160.516
26279.238,163.855
26885.965,165.781
27519.710,167.599
28372.508,170.183
29731.270,174.162
28250.789,169.780
28038.752,169.161
28001.903,168.948
27095.953,166.596
26267.398,163.894
24355.938,157.884
23878.567,156.459
23458.940,155.004
23326.837,154.630
22986.126,153.669
23108.757,153.985
23163.730,153.982
23773.227,156.120
24057.922,156.896
23746.007,155.959
23574.526,155.539
23603.259,155.426
22709.166,152.605
21910.984,150.061
21363.970,148.069
20814.147,146.401
19856.596,143.102
19337.776,141.129
19308.429,141.157
19088.730,140.265
19081.445,140.265
18790.807,139.314
20125.376,143.994
19165.768,140.329
20424.263,144.980
20298.010,144.531
20517.415,145.373
19867.929,142.994
19760.055,142.363
21373.614,148.119
21473.591,148.325
21051.016,147.083
20724.569,145.946
21660.594,149.353
21895.073,149.964
21513.487,148.699
20082.418,143.806
19937.800,143.277
19452.856,141.638
19104.515,140.169
18896.035,139.461
18618.031,138.626
18948.844,139.611
19511.132,141.656
19757.939,142.676
20012.574,143.681
21235.483,147.683
21585.079,148.967
21791.322,149.604
21459.155,148.483
21562.055,148.843
19959.567,143.274
19633.674,142.268
19053.485,140.190
17995.827,136.368
17393.049,133.968
17382.273,133.919
17076.987,132.802
16841.732,132.035
17322.878,133.732
17366.286,134.079
17493.179,134.478
17996.053,136.240
18285.361,137.344
18235.069,136.954
17770.714,135.423
17155.730,133.166
16709.407,131.489
15503.788,126.875
15154.748,125.349
14154.958,121.377
13660.180,119.123
13078.510,116.822
12175.512,112.895
12259.485,113.346
12223.382,113.258
12314.791,113.659
12542.434,114.496
12690.378,115.210
