TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
1.16E+04,-1.14,-1.14,-0.18,-0.2,,2.31E+05,0.0034375
1.16E+04,-1.14,-1.1,-0.18,-0.18,,2.33E+05,0.0034375
1.17E+04,-1.14,-1.14,-0.2,-0.2,,2.34E+05,0.0034375
1.18E+04,-1.14,-1.1,-0.18,-0.18,,2.36E+05,0.0034375
1.19E+04,-1.14,-1.14,-0.2,-0.2,,2.38E+05,0.0034375
1.20E+04,-1.14,-1.1,-0.18,-0.18,,2.39E+05,0.0034375
1.20E+04,-1.1,-1.1,-0.2,-0.2,,2.41E+05,0.0034375
1.21E+04,-1.1,-1.1,-0.2,-0.18,,2.42E+05,0.0034375
1.22E+04,-1.1,-1.1,-0.18,-0.18,,2.44E+05,0.0034375
1.23E+04,-1.1,-1.1,-0.18,-0.18,,2.45E+05,0.003125
1.23E+04,-1.14,-1.14,-0.18,-0.2,,2.47E+05,0.00289063
1.24E+04,-1.14,-1.1,-0.18,-0.18,,2.48E+05,0.00289063
1.25E+04,-1.14,-1.14,-0.18,-0.18,,2.50E+05,0.00289063
1.26E+04,-1.1,-1.1,-0.18,-0.18,,2.52E+05,0.00289063
1.27E+04,-1.1,-1.14,-0.18,-0.2,,2.53E+05,0.00289063
1.27E+04,-1.14,-1.1,-0.18,-0.18,,2.55E+05,0.003125
1.28E+04,-1.1,-1.14,-0.18,-0.2,,2.56E+05,0.0034375
1.29E+04,-1.1,-1.1,-0.18,-0.18,,2.58E+05,0.003125
1.30E+04,-1.1,-1.1,-0.18,-0.2,,2.59E+05,0.00289063
1.30E+04,-1.1,-1.1,-0.18,-0.18,,2.61E+05,0.003125
1.31E+04,-1.1,-1.14,-0.18,-0.2,,2.63E+05,0.0034375
1.32E+04,-1.14,-1.1,-0.2,-0.16,,2.64E+05,0.003125
1.33E+04,-1.14,-1.14,-0.18,-0.18,,2.66E+05,0.00289063
1.34E+04,-1.14,-1.1,-0.18,-0.18,,2.67E+05,0.00289063
1.34E+04,-1.1,-1.1,-0.18,-0.18,,2.69E+05,0.00289063
1.35E+04,-1.1,-1.1,-0.18,-0.18,,2.70E+05,0.003125
1.36E+04,-1.14,-1.14,-0.18,-0.18,,2.72E+05,0.0034375
1.37E+04,-1.1,-1.1,-0.18,-0.18,,2.73E+05,0.0028125
1.38E+04,-1.1,-1.1,-0.18,-0.18,,2.75E+05,0.00226562
1.38E+04,-1.1,-1.1,-0.18,-0.18,,2.77E+05,0.003125
1.39E+04,-1.1,-1.14,-0.18,-0.18,,2.78E+05,0.00398437
1.40E+04,-1.1,-1.1,-0.18,-0.18,,2.80E+05,0.003125
1.41E+04,-1.1,-1.1,-0.18,-0.18,,2.81E+05,0.00226562
1.41E+04,-1.1,-1.1,-0.18,-0.16,,2.83E+05,0.0028125
1.42E+04,-1.1,-1.1,-0.2,-0.2,,2.84E+05,0.0034375
1.43E+04,-1.1,-1.1,-0.18,-0.18,,2.86E+05,0.003125
1.44E+04,-1.1,-1.1,-0.2,-0.2,,2.88E+05,0.00289063
1.45E+04,-1.1,-1.1,-0.18,-0.18,,2.89E+05,0.00289063
1.45E+04,-1.14,-1.14,-0.18,-0.2,,2.91E+05,0.00289063
1.46E+04,-1.1,-1.06,-0.18,-0.18,,2.92E+05,0.00289063
1.47E+04,-1.1,-1.1,-0.18,-0.18,,2.94E+05,0.00289063
1.48E+04,-1.1,-1.1,-0.18,-0.18,,2.95E+05,0.00289063
1.48E+04,-1.1,-1.1,-0.18,-0.2,,2.97E+05,0.00289063
1.49E+04,-1.1,-1.1,-0.18,-0.18,,2.98E+05,0.003125
1.50E+04,-1.1,-1.1,-0.16,-0.18,,3.00E+05,0.0034375
1.51E+04,-1.1,-1.06,-0.18,-0.16,,3.02E+05,0.0028125
1.52E+04,-1.1,-1.1,-0.18,-0.18,,3.03E+05,0.00226562
1.52E+04,-1.1,-1.1,-0.18,-0.16,,3.05E+05,0.00257812
1.53E+04,-1.1,-1.1,-0.18,-0.2,,3.06E+05,0.00289063
1.54E+04,-1.1,-1.1,-0.2,-0.16,,3.08E+05,0.00289063
1.55E+04,-1.1,-1.1,-0.18,-0.2,,3.09E+05,0.00289063
1.55E+04,-1.1,-1.1,-0.18,-0.18,,3.11E+05,0.00289063
1.56E+04,-1.1,-1.1,-0.18,-0.18,,3.13E+05,0.00289063
1.57E+04,-1.1,-1.1,-0.18,-0.18,,3.14E+05,0.003125
1.58E+04,-1.1,-1.1,-0.2,-0.2,,3.16E+05,0.0034375
1.59E+04,-1.1,-1.06,-0.18,-0.16,,3.17E+05,0.003125
1.59E+04,-1.1,-1.1,-0.18,-0.18,,3.19E+05,0.00289063
1.60E+04,-1.1,-1.1,-0.16,-0.16,,3.20E+05,0.00289063
1.61E+04,-1.1,-1.1,-0.18,-0.18,,3.22E+05,0.00289063
1.62E+04,-1.1,-1.06,-0.18,-0.18,,3.23E+05,0.00289063
1.63E+04,-1.1,-1.1,-0.18,-0.2,,3.25E+05,0.00289063
