TIME,CH1,CH2,,TIME,MATH
3.90E+05,1.06,-0.043,,7.80E+06,0.00115625
3.93E+05,1.06,-0.043,,7.85E+06,0.00115625
3.95E+05,1.06,-0.043,,7.90E+06,0.00115625
3.98E+05,1.06,-0.043,,7.95E+06,0.00084375
4.00E+05,1.06,-0.041,,8.00E+06,0.0005625
4.03E+05,1.06,-0.043,,8.05E+06,0.00084375
4.05E+05,1.06,-0.045,,8.10E+06,0.00115625
4.08E+05,1.02,-0.045,,8.15E+06,0.00115625
4.10E+05,1.06,-0.045,,8.20E+06,0.00115625
4.13E+05,1.06,-0.043,,8.25E+06,0.00115625
4.15E+05,1.06,-0.043,,8.30E+06,0.00115625
4.18E+05,1.06,-0.043,,8.35E+06,0.00084375
4.20E+05,1.02,-0.043,,8.40E+06,0.0005625
4.23E+05,1.02,-0.043,,8.45E+06,0.00084375
4.25E+05,1.02,-0.045,,8.50E+06,0.00115625
4.28E+05,1.02,-0.047,,8.55E+06,0.00115625
4.30E+05,1.02,-0.049,,8.60E+06,0.00115625
4.33E+05,1.02,-0.049,,8.65E+06,0.00115625
4.35E+05,1.02,-0.047,,8.70E+06,0.00115625
4.38E+05,1.02,-0.043,,8.75E+06,0.00115625
4.40E+05,1.02,-0.043,,8.80E+06,0.00115625
4.43E+05,1.02,-0.043,,8.85E+06,0.00084375
4.45E+05,1.02,-0.045,,8.90E+06,0.0005625
4.48E+05,1.02,-0.043,,8.95E+06,0.0005625
4.50E+05,1.06,-0.045,,9.00E+06,0.0005625
4.53E+05,1.02,-0.047,,9.05E+06,0.0005625
4.55E+05,1.06,-0.047,,9.10E+06,0.0005625
4.58E+05,1.02,-0.047,,9.15E+06,0.00084375
4.60E+05,1.02,-0.043,,9.20E+06,0.00115625
4.63E+05,1.02,-0.041,,9.25E+06,0.0005625
4.65E+05,1.02,-0.043,,9.30E+06,0
4.68E+05,1.02,-0.043,,9.35E+06,0.0005625
4.70E+05,1.02,-0.045,,9.40E+06,0.00115625
4.73E+05,1.02,-0.045,,9.45E+06,0.00084375
4.75E+05,1.02,-0.045,,9.50E+06,0.0005625
4.78E+05,1.02,-0.047,,9.55E+06,0.00084375
4.80E+05,1.02,-0.047,,9.60E+06,0.00115625
4.83E+05,1.02,-0.047,,9.65E+06,0.00115625
4.85E+05,1.02,-0.047,,9.70E+06,0.00115625
4.88E+05,1.02,-0.045,,9.75E+06,0.00084375
4.90E+05,1.02,-0.043,,9.80E+06,0.0005625
4.93E+05,1.02,-0.045,,9.85E+06,0.0005625
4.95E+05,1.02,-0.047,,9.90E+06,0.0005625
4.98E+05,1.02,-0.049,,9.95E+06,0.0005625
5.00E+05,1.02,-0.051,,1.00E+07,0.0005625
5.03E+05,1.02,-0.049,,1.01E+07,0.00084375
5.05E+05,1.02,-0.047,,1.01E+07,0.00115625
5.08E+05,1.02,-0.045,,1.02E+07,0.00084375
5.10E+05,0.98,-0.043,,1.02E+07,0.0005625
5.13E+05,0.98,-0.041,,1.03E+07,0.00084375
5.15E+05,0.98,-0.041,,1.03E+07,0.00115625
5.18E+05,0.98,-0.045,,1.04E+07,0.0014375
5.20E+05,0.98,-0.047,,1.04E+07,0.00171875
5.23E+05,0.98,-0.049,,1.05E+07,0.001125
5.25E+05,0.98,-0.049,,1.05E+07,0.0005625
5.28E+05,0.98,-0.047,,1.06E+07,0.00084375
5.30E+05,0.98,-0.043,,1.06E+07,0.00115625
5.33E+05,0.98,-0.043,,1.07E+07,0.00115625
5.35E+05,0.98,-0.043,,1.07E+07,0.00115625
5.38E+05,0.98,-0.045,,1.08E+07,0.00115625
5.40E+05,0.98,-0.049,,1.08E+07,0.00115625
5.43E+05,0.98,-0.051,,1.09E+07,0.00084375
5.45E+05,0.98,-0.051,,1.09E+07,0.0005625
5.48E+05,0.98,-0.051,,1.10E+07,0.00084375
5.50E+05,0.98,-0.049,,1.10E+07,0.00115625
5.53E+05,0.98,-0.047,,1.11E+07,0.00115625
5.55E+05,0.98,-0.045,,1.11E+07,0.00115625
5.58E+05,0.98,-0.045,,1.12E+07,0.00115625
5.60E+05,0.98,-0.045,,1.12E+07,0.00115625
5.63E+05,0.98,-0.045,,1.13E+07,0.00115625
5.65E+05,0.98,-0.047,,1.13E+07,0.00115625
5.68E+05,0.98,-0.047,,1.14E+07,0.00084375
5.70E+05,0.98,-0.047,,1.14E+07,0.0005625
5.73E+05,0.98,-0.047,,1.15E+07,0.0005625
5.75E+05,0.98,-0.047,,1.15E+07,0.0005625
5.78E+05,0.98,-0.045,,1.16E+07,0.0014375
5.80E+05,0.98,-0.045,,1.16E+07,0.0023125
5.83E+05,0.98,-0.043,,1.17E+07,0.0014375
5.85E+05,0.98,-0.043,,1.17E+07,0.0005625
5.88E+05,0.94,-0.043,,1.18E+07,0.00084375
5.90E+05,0.98,-0.047,,1.18E+07,0.00115625
5.93E+05,0.94,-0.049,,1.19E+07,0.00084375
5.95E+05,0.98,-0.049,,1.19E+07,0.0005625
5.98E+05,0.98,-0.049,,1.20E+07,0.00084375
6.00E+05,0.98,-0.049,,1.20E+07,0.00115625
6.03E+05,0.94,-0.049,,1.21E+07,0.00115625
6.05E+05,0.98,-0.047,,1.21E+07,0.00115625
6.08E+05,0.94,-0.047,,1.22E+07,0.00084375
6.10E+05,0.94,-0.049,,1.22E+07,0.0005625
6.13E+05,0.94,-0.051,,1.23E+07,0.001125
6.15E+05,0.94,-0.051,,1.23E+07,0.00171875
6.18E+05,0.94,-0.051,,1.24E+07,0.001125
6.20E+05,0.94,-0.049,,1.24E+07,0.0005625
6.23E+05,0.94,-0.047,,1.25E+07,0.0005625
6.25E+05,0.94,-0.045,,1.25E+07,0.0005625
6.28E+05,0.94,-0.043,,1.26E+07,0.00084375
6.30E+05,0.94,-0.045,,1.26E+07,0.00115625
6.33E+05,0.94,-0.045,,1.27E+07,0.00084375
6.35E+05,0.94,-0.047,,1.27E+07,0.0005625
6.38E+05,0.94,-0.047,,1.28E+07,0.001125
6.40E+05,0.94,-0.047,,1.28E+07,0.00171875
6.43E+05,0.94,-0.047,,1.29E+07,0.001125
6.45E+05,0.94,-0.045,,1.29E+07,0.0005625
6.48E+05,0.9,-0.045,,1.30E+07,0.001125
6.50E+05,0.9,-0.047,,1.30E+07,0.00171875
6.53E+05,0.9,-0.047,,1.31E+07,0.0014375
6.55E+05,0.9,-0.051,,1.31E+07,0.00115625
6.58E+05,0.9,-0.051,,1.32E+07,0.00115625
6.60E+05,0.94,-0.051,,1.32E+07,0.00115625
6.63E+05,0.94,-0.049,,1.33E+07,0.0014375
6.65E+05,0.94,-0.051,,1.33E+07,0.00171875
6.68E+05,0.9,-0.051,,1.34E+07,0.001125
6.70E+05,0.94,-0.049,,1.34E+07,0.0005625
6.73E+05,0.9,-0.049,,1.35E+07,0.0005625
6.75E+05,0.94,-0.049,,1.35E+07,0.0005625
6.78E+05,0.9,-0.049,,1.36E+07,0.00084375
6.80E+05,0.94,-0.049,,1.36E+07,0.00115625
6.83E+05,0.9,-0.049,,1.37E+07,0.00115625
6.85E+05,0.9,-0.047,,1.37E+07,0.00115625
6.88E+05,0.9,-0.047,,1.38E+07,0.00115625
6.90E+05,0.94,-0.045,,1.38E+07,0.00115625
6.93E+05,0.9,-0.041,,1.39E+07,0.0014375
6.95E+05,0.9,-0.043,,1.39E+07,0.00171875
6.98E+05,0.9,-0.043,,1.40E+07,0.001125
7.00E+05,0.9,-0.045,,1.40E+07,0.0005625
7.03E+05,0.9,-0.047,,1.41E+07,0.00084375
7.05E+05,0.9,-0.049,,1.41E+07,0.00115625
7.08E+05,0.9,-0.049,,1.42E+07,0.0014375
7.10E+05,0.9,-0.047,,1.42E+07,0.00171875
7.13E+05,0.86,-0.049,,1.43E+07,0.001125
7.15E+05,0.9,-0.049,,1.43E+07,0.0005625
7.18E+05,0.86,-0.049,,1.44E+07,0.00084375
7.20E+05,0.9,-0.051,,1.44E+07,0.00115625
7.23E+05,0.86,-0.053,,1.45E+07,0.00115625
7.25E+05,0.9,-0.051,,1.45E+07,0.00115625
7.28E+05,0.9,-0.053,,1.46E+07,0.0014375
7.30E+05,0.9,-0.051,,1.46E+07,0.00171875
7.33E+05,0.86,-0.051,,1.47E+07,0.0014375
7.35E+05,0.9,-0.049,,1.47E+07,0.00115625
7.38E+05,0.86,-0.047,,1.48E+07,0.0014375
7.40E+05,0.9,-0.047,,1.48E+07,0.00171875
7.43E+05,0.86,-0.045,,1.49E+07,0.001125
7.45E+05,0.9,-0.045,,1.49E+07,0.0005625
7.48E+05,0.86,-0.047,,1.50E+07,0.00084375
7.50E+05,0.9,-0.047,,1.50E+07,0.00115625
7.53E+05,0.9,-0.047,,1.51E+07,0.00115625
7.55E+05,0.9,-0.049,,1.51E+07,0.00115625
7.58E+05,0.9,-0.047,,1.52E+07,0.00115625
7.60E+05,0.9,-0.047,,1.52E+07,0.00115625
7.63E+05,0.9,-0.045,,1.53E+07,0.0014375
7.65E+05,0.9,-0.047,,1.53E+07,0.00171875
7.68E+05,0.9,-0.049,,1.54E+07,0.0014375
7.70E+05,0.86,-0.049,,1.54E+07,0.00115625
7.73E+05,0.9,-0.051,,1.55E+07,0.0014375
7.75E+05,0.86,-0.053,,1.55E+07,0.00171875
7.78E+05,0.86,-0.053,,1.56E+07,0.001125
7.80E+05,0.86,-0.051,,1.56E+07,0.0005625
7.83E+05,0.86,-0.051,,1.57E+07,0.0014375
7.85E+05,0.86,-0.051,,1.57E+07,0.0023125
7.88E+05,0.86,-0.051,,1.58E+07,0.0014375
7.90E+05,0.86,-0.051,,1.58E+07,0.0005625
7.93E+05,0.86,-0.049,,1.59E+07,0.0005625
7.95E+05,0.86,-0.047,,1.59E+07,0.0005625
7.98E+05,0.86,-0.047,,1.60E+07,0.00084375
8.00E+05,0.86,-0.049,,1.60E+07,0.00115625
8.03E+05,0.9,-0.047,,1.61E+07,0.00115625
8.05E+05,0.86,-0.045,,1.61E+07,0.00115625
8.08E+05,0.82,-0.045,,1.62E+07,0.00115625
8.10E+05,0.86,-0.047,,1.62E+07,0.00115625
8.13E+05,0.86,-0.049,,1.63E+07,0.00115625
8.15E+05,0.86,-0.049,,1.63E+07,0.00115625
