TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
1.92E+04,1.62,1.66,-0.94,-0.94,,3.84E+05,0.00109375
1.94E+04,1.62,1.62,-0.94,-0.98,,3.88E+05,0.00109375
1.95E+04,1.62,1.62,-0.98,-0.94,,3.91E+05,0.00109375
1.97E+04,1.62,1.62,-0.94,-0.94,,3.94E+05,0.00109375
1.98E+04,1.62,1.62,-0.94,-0.94,,3.97E+05,0.00078125
2.00E+04,1.62,1.62,-0.94,-0.94,,4.00E+05,0.000546875
2.02E+04,1.62,1.62,-0.94,-0.94,,4.03E+05,0.00078125
2.03E+04,1.62,1.62,-0.94,-0.98,,4.06E+05,0.00109375
2.05E+04,1.62,1.62,-0.98,-0.94,,4.09E+05,0.00109375
2.06E+04,1.62,1.62,-0.98,-0.98,,4.13E+05,0.00109375
2.08E+04,1.62,1.62,-0.94,-0.94,,4.16E+05,0.00078125
2.09E+04,1.62,1.62,-0.94,-0.98,,4.19E+05,0.000546875
2.11E+04,1.62,1.66,-0.98,-0.94,,4.22E+05,0.00078125
2.13E+04,1.62,1.62,-0.98,-0.98,,4.25E+05,0.00109375
2.14E+04,1.62,1.62,-0.94,-0.94,,4.28E+05,0.00078125
2.16E+04,1.62,1.62,-0.94,-0.94,,4.31E+05,0.000546875
2.17E+04,1.62,1.62,-0.94,-0.94,,4.34E+05,0.00078125
2.19E+04,1.62,1.62,-0.98,-0.98,,4.38E+05,0.00109375
2.20E+04,1.62,1.62,-0.94,-0.94,,4.41E+05,0.00109375
2.22E+04,1.62,1.62,-0.98,-0.98,,4.44E+05,0.00109375
2.23E+04,1.62,1.62,-0.94,-0.94,,4.47E+05,0.000546875
2.25E+04,1.62,1.58,-0.94,-0.98,,4.50E+05,0
2.27E+04,1.58,1.66,-0.98,-0.94,,4.53E+05,0.000234375
2.28E+04,1.62,1.62,-0.98,-0.98,,4.56E+05,0.000546875
2.30E+04,1.62,1.62,-0.94,-0.94,,4.59E+05,0.000546875
2.31E+04,1.62,1.62,-0.94,-0.94,,4.63E+05,0.000546875
2.33E+04,1.62,1.62,-0.94,-0.94,,4.66E+05,0.00078125
2.34E+04,1.62,1.62,-0.94,-0.94,,4.69E+05,0.00109375
2.36E+04,1.62,1.62,-0.94,-0.94,,4.72E+05,0.00109375
2.38E+04,1.62,1.62,-0.98,-0.98,,4.75E+05,0.00109375
2.39E+04,1.62,1.62,-0.98,-0.94,,4.78E+05,0.00109375
2.41E+04,1.62,1.62,-0.94,-0.98,,4.81E+05,0.00109375
2.42E+04,1.62,1.66,-0.98,-0.94,,4.84E+05,0.00078125
2.44E+04,1.62,1.62,-0.98,-0.98,,4.88E+05,0.000546875
2.45E+04,1.62,1.66,-0.98,-0.94,,4.91E+05,0.00078125
2.47E+04,1.62,1.62,-0.98,-0.98,,4.94E+05,0.00109375
2.48E+04,1.62,1.62,-0.98,-0.94,,4.97E+05,0.00109375
