index,wave,mag,width
423,  10068.00     4.245      16.0,,
424,  10084.00     4.162      16.0,,
425,  10100.00     4.140      16.0,,
426,  10116.00     4.131      16.0,,
427,  10132.00     4.118      16.0,,
428,  10148.00     4.126      16.0,,
429,  10164.00     4.119      16.0,,
430,  10180.00     4.130      16.0,,
431,  10196.00     4.125      16.0,,
432,  10212.00     4.121      16.0,,
433,  10228.00     4.114      16.0,,
434,  10244.00     4.118      16.0,,
435,  10260.00     4.129      16.0,,
436,  10276.00     4.125      16.0,,
437,  10292.00     4.100      16.0,,
438,  10308.00     4.110      16.0,,
439,  10324.00     4.143      16.0,,
440,  10340.00     4.170      16.0,,
441,  10356.00     4.173      16.0,,
442,  10372.00     4.173      16.0,,
443,  10388.00     4.173      16.0,,
444,  10404.00     4.158      16.0,,
445,  10420.00     4.167      16.0,,
