TIME,CH1,CH2,,TIME,MATH
1.38E+05,1.98,-0.94,,2.75E+06,0.00226562
1.38E+05,1.98,-0.94,,2.76E+06,0.00257812
1.39E+05,1.98,-0.94,,2.78E+06,0.00289063
1.39E+05,1.98,-0.94,,2.79E+06,0.00257812
1.40E+05,1.98,-0.94,,2.80E+06,0.00226562
1.41E+05,1.98,-0.94,,2.81E+06,0.00226562
1.41E+05,1.94,-0.94,,2.83E+06,0.00226562
1.42E+05,1.98,-0.94,,2.84E+06,0.00226562
1.43E+05,1.94,-0.94,,2.85E+06,0.00226562
1.43E+05,1.98,-0.98,,2.86E+06,0.00226562
1.44E+05,1.98,-0.94,,2.88E+06,0.00226562
1.44E+05,1.98,-0.94,,2.89E+06,0.00226562
1.45E+05,1.98,-0.94,,2.90E+06,0.00226562
1.46E+05,1.98,-0.94,,2.91E+06,0.00226562
1.46E+05,1.98,-0.94,,2.93E+06,0.00226562
1.47E+05,1.98,-0.94,,2.94E+06,0.00195312
1.48E+05,1.98,-0.94,,2.95E+06,0.00171875
1.48E+05,1.98,-0.94,,2.96E+06,0.00257812
1.49E+05,1.94,-0.94,,2.98E+06,0.0034375
1.49E+05,1.98,-0.94,,2.99E+06,0.00226562
1.50E+05,1.98,-0.94,,3.00E+06,0.00109375
1.51E+05,1.98,-0.94,,3.01E+06,0.00195312
1.51E+05,1.98,-0.94,,3.03E+06,0.00289063
1.52E+05,1.98,-0.94,,3.04E+06,0.00257812
1.53E+05,1.98,-0.94,,3.05E+06,0.00226562
1.53E+05,1.98,-0.94,,3.06E+06,0.00226562
1.54E+05,1.98,-0.94,,3.08E+06,0.00226562
1.54E+05,1.98,-0.94,,3.09E+06,0.00226562
1.55E+05,1.94,-0.94,,3.10E+06,0.00226562
1.56E+05,1.98,-0.94,,3.11E+06,0.00195312
1.56E+05,1.98,-0.94,,3.13E+06,0.00171875
1.57E+05,1.98,-0.94,,3.14E+06,0.00195312
1.58E+05,1.98,-0.94,,3.15E+06,0.00226562
1.58E+05,1.98,-0.94,,3.16E+06,0.00226562
1.59E+05,1.98,-0.94,,3.18E+06,0.00226562
1.59E+05,1.98,-0.94,,3.19E+06,0.00257812
1.60E+05,1.98,-0.94,,3.20E+06,0.00289063
1.61E+05,1.98,-0.94,,3.21E+06,0.00257812
1.61E+05,1.98,-0.94,,3.23E+06,0.00226562
1.62E+05,1.98,-0.94,,3.24E+06,0.00226562
1.63E+05,1.98,-0.94,,3.25E+06,0.00226562
1.63E+05,1.98,-0.94,,3.26E+06,0.00195312
1.64E+05,1.98,-0.94,,3.28E+06,0.00171875
1.64E+05,1.98,-0.94,,3.29E+06,0.00195312
1.65E+05,1.98,-0.94,,3.30E+06,0.00226562
1.66E+05,1.98,-0.94,,3.31E+06,0.00226562
1.66E+05,1.98,-0.94,,3.33E+06,0.00226562
1.67E+05,1.98,-0.94,,3.34E+06,0.00226562
1.68E+05,1.98,-0.94,,3.35E+06,0.00226562
1.68E+05,1.98,-0.94,,3.36E+06,0.00226562
1.69E+05,1.98,-0.94,,3.38E+06,0.00226562
1.69E+05,1.98,-0.94,,3.39E+06,0.00226562
1.70E+05,1.98,-0.94,,3.40E+06,0.00226562
1.71E+05,2.02,-0.94,,3.41E+06,0.00195312
1.71E+05,1.98,-0.94,,3.43E+06,0.00171875
1.72E+05,1.98,-0.98,,3.44E+06,0.00195312
1.73E+05,1.98,-0.94,,3.45E+06,0.00226562
1.73E+05,1.98,-0.98,,3.46E+06,0.00195312
1.74E+05,1.98,-0.94,,3.48E+06,0.00171875
1.74E+05,1.98,-0.94,,3.49E+06,0.00171875
1.75E+05,1.98,-0.94,,3.50E+06,0.00171875
1.76E+05,1.98,-0.94,,3.51E+06,0.00195312
1.76E+05,1.94,-0.94,,3.53E+06,0.00226562
1.77E+05,1.98,-0.94,,3.54E+06,0.00226562
1.78E+05,1.98,-0.94,,3.55E+06,0.00226562
1.78E+05,1.98,-0.98,,3.56E+06,0.00226562
