TIME,CH1,CH2,,TIME,MATH
9.55E+05,0.75,-0.29,,1.91E+07,0.00040625
9.60E+05,0.75,-0.31,,1.92E+07,0.00084375
9.65E+05,0.75,-0.31,,1.93E+07,0.0005625
9.70E+05,0.75,-0.31,,1.94E+07,0.00028125
9.75E+05,0.75,-0.31,,1.95E+07,0.00040625
9.80E+05,0.75,-0.31,,1.96E+07,0.0005625
9.85E+05,0.75,-0.31,,1.97E+07,0.0005625
9.90E+05,0.75,-0.31,,1.98E+07,0.0005625
9.95E+05,0.75,-0.33,,1.99E+07,0.0006875
1.00E+06,0.75,-0.31,,2.00E+07,0.00084375
1.01E+06,0.77,-0.33,,2.01E+07,0.0005625
1.01E+06,0.77,-0.33,,2.02E+07,0.00028125
1.02E+06,0.77,-0.33,,2.03E+07,0.0005625
1.02E+06,0.77,-0.31,,2.04E+07,0.00084375
1.03E+06,0.77,-0.33,,2.05E+07,0.00084375
1.03E+06,0.77,-0.31,,2.06E+07,0.00084375
1.04E+06,0.77,-0.33,,2.07E+07,0.00084375
1.04E+06,0.77,-0.33,,2.08E+07,0.00084375
1.05E+06,0.77,-0.33,,2.09E+07,0.00084375
1.05E+06,0.77,-0.35,,2.10E+07,0.00084375
1.06E+06,0.77,-0.33,,2.11E+07,0.001
1.06E+06,0.77,-0.33,,2.12E+07,0.00115625
1.07E+06,0.79,-0.33,,2.13E+07,0.00071875
1.07E+06,0.79,-0.35,,2.14E+07,0.00028125
1.08E+06,0.79,-0.35,,2.15E+07,0.00040625
1.08E+06,0.79,-0.35,,2.16E+07,0.0005625
1.09E+06,0.79,-0.35,,2.17E+07,0.0005625
1.09E+06,0.79,-0.33,,2.18E+07,0.0005625
1.10E+06,0.79,-0.33,,2.19E+07,0.0005625
1.10E+06,0.79,-0.35,,2.20E+07,0.0005625
1.11E+06,0.79,-0.35,,2.21E+07,0.0005625
1.11E+06,0.79,-0.37,,2.22E+07,0.0005625
1.12E+06,0.81,-0.37,,2.23E+07,0.0005625
1.12E+06,0.81,-0.35,,2.24E+07,0.0005625
1.13E+06,0.81,-0.35,,2.25E+07,0.00040625
1.13E+06,0.81,-0.35,,2.26E+07,0.00028125
1.14E+06,0.81,-0.37,,2.27E+07,0.00071875
1.14E+06,0.79,-0.37,,2.28E+07,0.00115625
1.15E+06,0.79,-0.37,,2.29E+07,0.00071875
1.15E+06,0.79,-0.37,,2.30E+07,0.00028125
1.16E+06,0.79,-0.37,,2.31E+07,0.0005625
1.16E+06,0.79,-0.37,,2.32E+07,0.00084375
1.17E+06,0.81,-0.37,,2.33E+07,0.00084375
1.17E+06,0.79,-0.37,,2.34E+07,0.00084375
1.18E+06,0.81,-0.37,,2.35E+07,0.0005625
1.18E+06,0.81,-0.39,,2.36E+07,0.00028125
1.19E+06,0.81,-0.39,,2.37E+07,0.0005625
1.19E+06,0.81,-0.39,,2.38E+07,0.00084375
1.20E+06,0.81,-0.39,,2.39E+07,0.00084375
1.20E+06,0.81,-0.37,,2.40E+07,0.00084375
1.21E+06,0.81,-0.37,,2.41E+07,0.001
1.21E+06,0.81,-0.37,,2.42E+07,0.00115625
1.22E+06,0.83,-0.39,,2.43E+07,0.00084375
1.22E+06,0.83,-0.39,,2.44E+07,0.0005625
1.23E+06,0.83,-0.39,,2.45E+07,0.0006875
1.23E+06,0.83,-0.37,,2.46E+07,0.00084375
1.24E+06,0.83,-0.39,,2.47E+07,0.001
1.24E+06,0.83,-0.39,,2.48E+07,0.00115625
1.25E+06,0.83,-0.39,,2.49E+07,0.00084375
1.25E+06,0.83,-0.39,,2.50E+07,0.0005625
1.26E+06,0.83,-0.41,,2.51E+07,0.0006875
1.26E+06,0.81,-0.41,,2.52E+07,0.00084375
1.27E+06,0.83,-0.41,,2.53E+07,0.0006875
1.27E+06,0.83,-0.41,,2.54E+07,0.0005625
1.28E+06,0.83,-0.41,,2.55E+07,0.0005625
1.28E+06,0.83,-0.41,,2.56E+07,0.0005625
1.29E+06,0.83,-0.41,,2.57E+07,0.0006875
1.29E+06,0.81,-0.41,,2.58E+07,0.00084375
1.30E+06,0.83,-0.41,,2.59E+07,0.0005625
1.30E+06,0.83,-0.41,,2.60E+07,0.00028125
1.31E+06,0.85,-0.41,,2.61E+07,0.00040625
1.31E+06,0.85,-0.41,,2.62E+07,0.0005625
1.32E+06,0.85,-0.41,,2.63E+07,0.0006875
1.32E+06,0.85,-0.41,,2.64E+07,0.00084375
1.33E+06,0.85,-0.41,,2.65E+07,0.0005625
1.33E+06,0.83,-0.41,,2.66E+07,0.00028125
1.34E+06,0.85,-0.43,,2.67E+07,0.0005625
1.34E+06,0.85,-0.41,,2.68E+07,0.00084375
1.35E+06,0.85,-0.43,,2.69E+07,0.0006875
1.35E+06,0.85,-0.43,,2.70E+07,0.0005625
1.36E+06,0.87,-0.43,,2.71E+07,0.00084375
1.36E+06,0.87,-0.43,,2.72E+07,0.00115625
