TIME,CH1,CH2,,TIME,MATH
3.53E+05,-0.86,0.053,,7.05E+06,0.0014375
3.55E+05,-0.86,0.051,,7.10E+06,0.00115625
3.58E+05,-0.86,0.053,,7.15E+06,0.00171875
3.60E+05,-0.86,0.051,,7.20E+06,0.0023125
3.63E+05,-0.86,0.051,,7.25E+06,0.00171875
3.65E+05,-0.86,0.051,,7.30E+06,0.00115625
3.68E+05,-0.86,0.051,,7.35E+06,0.00115625
3.70E+05,-0.9,0.049,,7.40E+06,0.00115625
3.73E+05,-0.86,0.051,,7.45E+06,0.0014375
3.75E+05,-0.86,0.053,,7.50E+06,0.00171875
3.78E+05,-0.86,0.053,,7.55E+06,0.0014375
3.80E+05,-0.9,0.053,,7.60E+06,0.00115625
3.83E+05,-0.86,0.053,,7.65E+06,0.00115625
3.85E+05,-0.86,0.051,,7.70E+06,0.00115625
3.88E+05,-0.86,0.051,,7.75E+06,0.00171875
3.90E+05,-0.86,0.049,,7.80E+06,0.0023125
3.93E+05,-0.86,0.051,,7.85E+06,0.00171875
3.95E+05,-0.86,0.051,,7.90E+06,0.00115625
3.98E+05,-0.86,0.053,,7.95E+06,0.00115625
4.00E+05,-0.86,0.053,,8.00E+06,0.00115625
4.03E+05,-0.86,0.053,,8.05E+06,0.0014375
4.05E+05,-0.86,0.053,,8.10E+06,0.00171875
4.08E+05,-0.82,0.053,,8.15E+06,0.0014375
4.10E+05,-0.82,0.053,,8.20E+06,0.00115625
4.13E+05,-0.82,0.051,,8.25E+06,0.00115625
4.15E+05,-0.82,0.049,,8.30E+06,0.00115625
4.18E+05,-0.82,0.051,,8.35E+06,0.00171875
4.20E+05,-0.82,0.051,,8.40E+06,0.0023125
4.23E+05,-0.82,0.053,,8.45E+06,0.00171875
4.25E+05,-0.82,0.053,,8.50E+06,0.00115625
4.28E+05,-0.82,0.055,,8.55E+06,0.0014375
4.30E+05,-0.82,0.053,,8.60E+06,0.00171875
4.33E+05,-0.82,0.051,,8.65E+06,0.0014375
4.35E+05,-0.82,0.051,,8.70E+06,0.00115625
4.38E+05,-0.82,0.051,,8.75E+06,0.00115625
4.40E+05,-0.82,0.051,,8.80E+06,0.00115625
4.43E+05,-0.82,0.053,,8.85E+06,0.00115625
4.45E+05,-0.78,0.051,,8.90E+06,0.00115625
4.48E+05,-0.82,0.053,,8.95E+06,0.0014375
4.50E+05,-0.82,0.053,,9.00E+06,0.00171875
4.53E+05,-0.82,0.053,,9.05E+06,0.0014375
4.55E+05,-0.82,0.053,,9.10E+06,0.00115625
4.58E+05,-0.82,0.051,,9.15E+06,0.0014375
4.60E+05,-0.82,0.051,,9.20E+06,0.00171875
4.63E+05,-0.78,0.051,,9.25E+06,0.0014375
4.65E+05,-0.82,0.051,,9.30E+06,0.00115625
4.68E+05,-0.82,0.053,,9.35E+06,0.00115625
4.70E+05,-0.78,0.051,,9.40E+06,0.00115625
4.73E+05,-0.82,0.053,,9.45E+06,0.00115625
4.75E+05,-0.82,0.053,,9.50E+06,0.00115625
4.78E+05,-0.78,0.053,,9.55E+06,0.00115625
4.80E+05,-0.78,0.053,,9.60E+06,0.00115625
4.83E+05,-0.78,0.053,,9.65E+06,0.0014375
4.85E+05,-0.78,0.049,,9.70E+06,0.00171875
4.88E+05,-0.78,0.049,,9.75E+06,0.0014375
4.90E+05,-0.78,0.051,,9.80E+06,0.00115625
4.93E+05,-0.78,0.053,,9.85E+06,0.0014375
4.95E+05,-0.78,0.053,,9.90E+06,0.00171875
4.98E+05,-0.78,0.053,,9.95E+06,0.00171875
5.00E+05,-0.78,0.051,,1.00E+07,0.00171875
5.03E+05,-0.78,0.051,,1.01E+07,0.0014375
5.05E+05,-0.78,0.049,,1.01E+07,0.00115625
5.08E+05,-0.78,0.051,,1.02E+07,0.00115625
5.10E+05,-0.78,0.051,,1.02E+07,0.00115625
5.13E+05,-0.74,0.051,,1.03E+07,0.00171875
5.15E+05,-0.78,0.051,,1.03E+07,0.0023125
5.18E+05,-0.74,0.053,,1.04E+07,0.00171875
5.20E+05,-0.74,0.053,,1.04E+07,0.00115625
5.23E+05,-0.78,0.053,,1.05E+07,0.0014375
5.25E+05,-0.78,0.053,,1.05E+07,0.00171875
5.28E+05,-0.78,0.053,,1.06E+07,0.00171875
5.30E+05,-0.78,0.053,,1.06E+07,0.00171875
5.33E+05,-0.74,0.053,,1.07E+07,0.0014375
5.35E+05,-0.74,0.051,,1.07E+07,0.00115625
5.38E+05,-0.74,0.053,,1.08E+07,0.0014375
5.40E+05,-0.74,0.053,,1.08E+07,0.00171875
5.43E+05,-0.74,0.051,,1.09E+07,0.0014375
5.45E+05,-0.74,0.053,,1.09E+07,0.00115625
5.48E+05,-0.74,0.051,,1.10E+07,0.00084375
5.50E+05,-0.74,0.051,,1.10E+07,0.0005625
5.53E+05,-0.74,0.051,,1.11E+07,0.0014375
5.55E+05,-0.74,0.051,,1.11E+07,0.0023125
5.58E+05,-0.74,0.051,,1.12E+07,0.00171875
5.60E+05,-0.74,0.051,,1.12E+07,0.00115625
5.63E+05,-0.74,0.051,,1.13E+07,0.00115625
5.65E+05,-0.74,0.051,,1.13E+07,0.00115625
5.68E+05,-0.74,0.051,,1.14E+07,0.0014375
5.70E+05,-0.74,0.051,,1.14E+07,0.00171875
5.73E+05,-0.74,0.051,,1.15E+07,0.0014375
5.75E+05,-0.74,0.049,,1.15E+07,0.00115625
5.78E+05,-0.74,0.051,,1.16E+07,0.00171875
5.80E+05,-0.74,0.051,,1.16E+07,0.0023125
5.83E+05,-0.74,0.053,,1.17E+07,0.002
5.85E+05,-0.74,0.051,,1.17E+07,0.00171875
5.88E+05,-0.74,0.053,,1.18E+07,0.0014375
5.90E+05,-0.74,0.051,,1.18E+07,0.00115625
5.93E+05,-0.7,0.053,,1.19E+07,0.0014375
5.95E+05,-0.74,0.051,,1.19E+07,0.00171875
5.98E+05,-0.7,0.053,,1.20E+07,0.0014375
6.00E+05,-0.74,0.051,,1.20E+07,0.00115625
