x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
-2.86E-07,-1.26875E-06,3.94948E-06,3.66738E-06,-1.8807E-06,2.53895E-06,-4.7018E-07,9.403E-08,1.5986E-06,1.88071E-06
-2.86E-07,-1.26875E-06,3.85545E-06,3.76141E-06,-1.8807E-06,2.53895E-06,-4.7018E-07,9.403E-08,1.5986E-06,2.06878E-06
-2.86E-07,-1.26875E-06,3.85545E-06,3.85545E-06,-1.8807E-06,2.53895E-06,-4.7018E-07,1.8807E-07,1.50457E-06,2.06878E-06
-4.29E-09,-1.26875E-06,3.85545E-06,3.76141E-06,-2.06877E-06,2.72702E-06,-3.7614E-07,1.8807E-07,9.4036E-07,1.69264E-06
-4.29E-09,-1.26875E-06,3.85545E-06,3.76141E-06,-2.06877E-06,3.1972E-06,-2.821E-07,1.8807E-07,8.4632E-07,1.69264E-06
-3.80E-07,-1.45682E-06,3.85545E-06,3.76141E-06,-2.06877E-06,3.1972E-06,-3.7614E-07,1.8807E-07,8.4632E-07,1.69264E-06
-3.80E-07,-1.45682E-06,3.85545E-06,3.76141E-06,-1.97474E-06,3.1972E-06,-3.7614E-07,1.8807E-07,8.4632E-07,1.69264E-06
-9.83E-08,-1.36279E-06,3.85545E-06,3.76141E-06,-1.97474E-06,3.1972E-06,-3.7614E-07,1.8807E-07,8.4632E-07,1.97474E-06
-5.69E-07,-9.8665E-07,3.85545E-06,3.76141E-06,-2.06877E-06,3.1972E-06,-4.7018E-07,1.8807E-07,6.5825E-07,2.25685E-06
-7.57E-07,-8.9261E-07,3.85545E-06,3.76141E-06,-2.16281E-06,3.1972E-06,-4.7018E-07,1.8807E-07,5.6421E-07,2.25685E-06
-6.63E-07,-8.9261E-07,3.85545E-06,3.76141E-06,-2.16281E-06,3.1972E-06,-4.7018E-07,1.8807E-07,4.7018E-07,1.97474E-06
-4.74E-07,-6.105E-07,4.04352E-06,3.76141E-06,-2.25684E-06,3.29123E-06,-4.7018E-07,1.8807E-07,4.7018E-07,1.88071E-06
-4.74E-07,-3.284E-07,4.23159E-06,3.76141E-06,-2.06877E-06,3.1972E-06,-4.7018E-07,1.8807E-07,4.7018E-07,1.88071E-06
-6.63E-07,-4.2243E-07,4.23159E-06,3.76141E-06,-2.25684E-06,3.1972E-06,-4.7018E-07,1.8807E-07,4.7018E-07,1.88071E-06
-8.51E-07,-4.2243E-07,4.13755E-06,3.76141E-06,-2.53895E-06,3.00913E-06,-4.7018E-07,1.8807E-07,4.7018E-07,1.88071E-06
-1.04E-06,-4.2243E-07,4.13755E-06,3.76141E-06,-2.16281E-06,3.00913E-06,-4.7018E-07,1.8807E-07,-9.403E-08,1.78667E-06
-1.04E-06,-4.2243E-07,4.32562E-06,3.76141E-06,-2.16281E-06,3.00913E-06,-6.5825E-07,2.8211E-07,-9.403E-08,1.88071E-06
-8.51E-07,-6.105E-07,4.32562E-06,3.76141E-06,-2.44491E-06,3.10316E-06,-5.6421E-07,2.8211E-07,-9.403E-08,2.16281E-06
-8.51E-07,-6.105E-07,4.32562E-06,3.76141E-06,-2.72702E-06,3.1972E-06,-5.6421E-07,2.8211E-07,-9.403E-08,2.44492E-06
-8.51E-07,-6.105E-07,4.41966E-06,4.41966E-06,-2.16281E-06,3.10316E-06,-4.7018E-07,2.8211E-07,-9.403E-08,2.44492E-06
-8.51E-07,-6.105E-07,4.41966E-06,4.32562E-06,-2.25684E-06,3.10316E-06,-2.821E-07,2.8211E-07,1.8807E-07,2.63299E-06
-8.51E-07,-6.105E-07,4.23159E-06,3.94948E-06,-2.53895E-06,3.10316E-06,-2.821E-07,2.8211E-07,3.7614E-07,2.72702E-06
-8.51E-07,-6.105E-07,4.23159E-06,3.94948E-06,-2.63298E-06,3.10316E-06,-4.7018E-07,1.8807E-07,4.7018E-07,2.63299E-06
-8.51E-07,-3.284E-07,4.32562E-06,4.13755E-06,-2.53895E-06,3.29123E-06,-6.5825E-07,9.403E-08,5.6421E-07,2.63299E-06
-8.51E-07,-3.284E-07,4.32562E-06,4.13755E-06,-2.44491E-06,3.1972E-06,-6.5825E-07,9.403E-08,1.8807E-07,2.44492E-06
-6.63E-07,-7.9858E-07,4.23159E-06,4.13755E-06,-2.25684E-06,3.1972E-06,-6.5825E-07,9.403E-08,1.8807E-07,2.44492E-06
-6.63E-07,-7.9858E-07,4.04352E-06,4.13755E-06,-2.16281E-06,3.1972E-06,-6.5825E-07,9.403E-08,1.8807E-07,2.44492E-06
