TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
2.41E+04,0.42,0.38,0.66,0.62,,4.81E+05,0.00115625
2.41E+04,0.42,0.42,0.62,0.66,,4.83E+05,0.0014375
2.42E+04,0.38,0.38,0.66,0.66,,4.84E+05,0.00171875
2.43E+04,0.42,0.42,0.66,0.66,,4.86E+05,0.002
2.44E+04,0.38,0.38,0.66,0.66,,4.88E+05,0.0023125
2.45E+04,0.42,0.42,0.66,0.66,,4.89E+05,0.002
2.45E+04,0.42,0.38,0.62,0.62,,4.91E+05,0.00171875
2.46E+04,0.38,0.42,0.66,0.66,,4.92E+05,0.0014375
2.47E+04,0.42,0.38,0.66,0.66,,4.94E+05,0.00115625
2.48E+04,0.38,0.42,0.66,0.66,,4.95E+05,0.00171875
2.48E+04,0.38,0.38,0.62,0.62,,4.97E+05,0.0023125
2.49E+04,0.38,0.38,0.66,0.66,,4.98E+05,0.00171875
2.50E+04,0.38,0.38,0.62,0.62,,5.00E+05,0.00115625
2.51E+04,0.38,0.38,0.62,0.66,,5.02E+05,0.0014375
2.52E+04,0.42,0.38,0.62,0.62,,5.03E+05,0.00171875
2.52E+04,0.42,0.42,0.66,0.66,,5.05E+05,0.00171875
2.53E+04,0.42,0.38,0.66,0.66,,5.06E+05,0.00171875
2.54E+04,0.42,0.42,0.66,0.66,,5.08E+05,0.0014375
2.55E+04,0.38,0.38,0.66,0.62,,5.09E+05,0.00115625
2.55E+04,0.38,0.42,0.62,0.66,,5.11E+05,0.00171875
2.56E+04,0.42,0.38,0.62,0.62,,5.13E+05,0.0023125
2.57E+04,0.42,0.42,0.66,0.66,,5.14E+05,0.002
2.58E+04,0.38,0.38,0.66,0.62,,5.16E+05,0.00171875
2.59E+04,0.38,0.38,0.62,0.66,,5.17E+05,0.0014375
2.59E+04,0.38,0.38,0.62,0.62,,5.19E+05,0.00115625
2.60E+04,0.38,0.38,0.66,0.66,,5.20E+05,0.00171875
2.61E+04,0.38,0.38,0.66,0.62,,5.22E+05,0.0023125
2.62E+04,0.42,0.42,0.62,0.66,,5.23E+05,0.00171875
2.63E+04,0.38,0.38,0.66,0.62,,5.25E+05,0.00115625
2.63E+04,0.38,0.42,0.62,0.66,,5.27E+05,0.0014375
2.64E+04,0.38,0.38,0.66,0.66,,5.28E+05,0.00171875
2.65E+04,0.42,0.42,0.66,0.66,,5.30E+05,0.00171875
2.66E+04,0.38,0.38,0.66,0.66,,5.31E+05,0.00171875
2.66E+04,0.38,0.38,0.66,0.66,,5.33E+05,0.00171875
2.67E+04,0.38,0.38,0.62,0.62,,5.34E+05,0.00171875
2.68E+04,0.42,0.42,0.62,0.66,,5.36E+05,0.00171875
2.69E+04,0.38,0.38,0.66,0.62,,5.38E+05,0.00171875
2.70E+04,0.42,0.42,0.66,0.66,,5.39E+05,0.00171875
2.70E+04,0.38,0.38,0.66,0.62,,5.41E+05,0.00171875
2.71E+04,0.38,0.42,0.66,0.66,,5.42E+05,0.0014375
