t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
6.4,0,0,0,0,-1.49925E-06,-1.34933E-06,-2.9985E-06,-1.49925E-06,-1.49925E-06,0
6.47,0,0,0,-1.49925E-06,-1.49925E-06,-1.34933E-06,-1.49925E-06,0,-1.49925E-06,-1.49925E-06
6.53,0,0,-2.9985E-06,0,-1.49925E-06,-1.49925E-06,0,0,1.49925E-06,0
6.6,0,-1.49925E-06,-1.49925E-06,2.9985E-06,0,0,0,0,0,0
6.67,4.49775E-06,-4.49775E-06,1.49925E-06,4.49775E-06,0,0,0,0,1.49925E-06,0
6.73,-1.49925E-06,5.997E-06,2.9985E-06,-4.49775E-06,0,-2.84858E-06,-4.49775E-06,-2.9985E-06,0,0
6.8,1.49925E-06,0,0,-1.49925E-06,0,0,2.9985E-06,0,2.9985E-06,0
6.87,0,0,0,0,-1.49925E-06,0,1.49925E-06,1.49925E-06,2.9985E-06,1.49925E-06
6.93,0,0,1.49925E-06,0,2.9985E-06,1.49925E-06,0,0,0,-1.49925E-06
7,-1.49925E-06,-4.49775E-06,0,0,1.49925E-06,2.84858E-06,0,0,1.49925E-06,0
7.07,0,0,4.49775E-06,1.49925E-06,-1.49925E-06,-1.49925E-06,1.49925E-06,-2.9985E-06,0,0
7.13,0,0,1.49925E-06,1.49925E-06,1.49925E-06,-5.54723E-06,0,0,1.49925E-06,0
7.2,0,0,0,0,1.49925E-06,0,-1.49925E-06,0,-5.997E-06,0
7.27,-1.49925E-06,4.49775E-06,0,0,-5.997E-06,7.04648E-06,0,0,-8.9955E-06,2.9985E-06
7.33,-1.49925E-06,0,5.997E-06,4.49775E-06,-2.9985E-06,-4.34783E-06,0,0,0,2.9985E-06
7.4,2.9985E-06,-4.49775E-06,1.49925E-06,2.9985E-06,1.49925E-06,-1.34933E-06,0,0,4.49775E-06,-1.49925E-06
